dataset_index,stops,load,len_m,cost_m,energy_net_Wh,energy_gross_Wh,energy_regen_Wh,charge_cnt,charge_time_h,feasible,dataset_index
8,4,299,3563.157426,3124.577774,777.0580456,1013.809948,255.6791161,0,0,True,8
9,160,300,16768.60068,16205.14278,5144.95615,5667.213008,808.6054455,0,0,True,9
9,221,300,20039.73355,20274.694,5805.599066,6132.134323,359.6807407,0,0,True,9
9,108,300,18943.90578,19135.81417,5228.04707,5668.627236,461.0417006,0,0,True,9
9,173,300,20011.31533,20027.89514,5553.624445,6062.534651,702.9480746,0,0,True,9
9,18,77,6768.95648,6978.153537,2699.283449,2838.458265,158.7990541,0,0,True,9
9,53,288,13366.78709,13540.23806,3869.332231,3999.426461,130.0942293,0,0,True,9
10,196,259,18036.46408,18593.50622,7658.87,8210.26333,815.8641449,0,0,True,10
10,55,237,11139.97519,10441.11419,3770.819759,4329.758921,758.8193913,0,0,True,10
10,164,300,14446.93919,14619.86503,5385.290439,5977.629553,1123.370532,0,0,True,10
10,123,298,9957.203838,10170.93805,4012.495802,4449.148296,566.898024,0,0,True,10
11,173,300,19430.02312,18912.66833,5183.853,5823.752928,705.9218348,0,0,True,11
11,270,276,20912.59819,20967.07601,6170.052097,7052.988334,1064.918736,0,0,True,11
11,112,159,14653.43651,14702.3337,3792.739544,4168.105326,413.7340748,0,0,True,11
11,241,300,19267.14152,19232.29902,5459.448276,5931.386313,585.5159039,0,0,True,11
12,258,300,22353.63548,22553.914,10735.20913,11628.49391,1813.987778,0,0,True,12
12,290,300,20061.26,19888.68978,9163.895437,10083.01346,1889.637988,0,0,True,12
12,124,262,10324.21866,9598.549658,3759.945288,4224.83758,724.2288368,0,0,True,12
12,107,175,18828.41007,16692.75262,5769.396064,6702.165124,1496.630458,0,0,True,12
12,278,300,21530.20236,20158.30597,6633.755957,7666.440627,1711.410203,0,0,True,12
12,260,300,17719.78991,17463.86596,6935.689005,7817.139346,1491.784927,0,0,True,12
12,222,300,19458.19943,18623.48475,8136.131032,8914.208483,1160.981521,0,0,True,12
12,222,300,17085.56658,16151.33338,5701.244972,6517.932699,1537.903005,0,0,True,12
12,268,300,18505.68068,18871.88932,7371.113535,8200.415063,1450.658459,0,0,True,12
13,125,178,18119.75883,18009.55166,7352.958605,8181.726811,1134.752621,0,0,True,13
13,237,300,15571.52877,15589.22496,4699.164746,5218.235386,763.7099884,0,0,True,13
13,204,300,16827.63838,17130.66354,5814.59625,6479.268054,979.7836807,0,0,True,13
13,260,300,22547.75825,21854.31319,7475.332122,8573.904781,1523.12599,0,0,True,13
13,168,196,19703.92353,19068.01287,5966.344383,6883.994098,1561.814849,0,0,True,13
13,281,300,20223.16776,20606.36589,6727.661846,7285.017368,779.6647293,0,0,True,13
13,228,300,18357.96318,18224.67902,6697.978956,7349.998324,885.2973251,0,0,True,13
14,77,86,10076.24703,10045.78475,2642.192949,2774.559094,133.1052155,0,0,True,14
15,273,300,18978.83728,18995.85898,8519.216604,9166.267967,1219.79045,0,0,True,15
15,141,232,13747.34804,12982.33343,4874.829796,5751.701785,1638.602846,0,0,True,15
15,93,212,13967.8642,13559.70096,4228.380383,4934.251221,1364.590033,0,0,True,15
16,141,300,21098.39989,20345.98023,5804.566521,6594.22394,892.0239855,0,0,True,16
16,176,300,26002.19227,25955.94983,5870.194867,6268.843416,439.7702397,0,0,True,16
16,214,300,16133.19444,16162.20522,4582.3158,5263.38749,842.4430847,0,0,True,16
16,240,300,24934.67525,24084.14266,6425.054179,7038.568721,674.8912314,0,0,True,16
16,113,272,14794.55836,13924.63145,4092.043665,4872.418972,1005.932151,0,0,True,16
16,281,300,26316.34001,25761.94857,6323.280083,6723.491333,422.716321,0,0,True,16
16,245,300,26699.63738,26600.3574,6262.597219,6740.558443,504.8444966,0,0,True,16
16,182,291,18802.79706,18853.30098,4440.629963,5025.058165,624.958874,0,0,True,16
17,257,300,23622.78922,23449.74301,6516.332828,7144.178127,668.3154553,0,0,True,17
17,260,300,26297.46205,26649.90918,7625.524022,8063.188746,460.0144066,0,0,True,17
17,288,300,27318.11349,27023.97391,6760.198177,7036.545294,285.3201156,0,0,True,17
17,276,300,23615.29393,24022.19973,7079.25381,7659.499215,652.0529436,0,0,True,17
17,183,234,23717.93863,23646.34967,6489.72535,7553.826454,1256.961802,0,0,True,17
17,181,300,23167.93119,23118.34008,6055.105827,6583.677199,586.6702233,0,0,True,17
17,232,300,24322.47078,24543.89526,6678.043495,7067.194412,408.7158292,0,0,True,17
17,254,300,33469.3564,33713.12786,9559.023062,10162.10597,675.1197819,0,0,True,17
17,203,300,36045.8203,36199.41372,9281.663701,9611.047605,335.4385533,0,0,True,17
17,257,300,30283.01221,30383.70864,7637.617832,8280.421835,661.7776971,0,0,True,17
17,261,300,24046.90275,24032.43079,5978.377007,6306.286853,347.0038123,0,0,True,17
17,54,145,14527.86232,14278.7456,3329.502501,4086.397163,917.7448659,0,0,True,17
17,251,300,23420.31304,23527.90928,5648.906566,5843.4828,199.5133204,0,0,True,17
17,293,300,26536.17494,26710.35909,6553.165467,6885.49809,362.0193526,0,0,True,17
17,274,300,24143.14632,24096.06931,6246.470176,6519.868171,279.5806869,0,0,True,17
